timestamp,price,prediction,action,position,fee,pnl
2026-05-10 20:00:10.000643,59.77,-0.0007397641517495263,HOLD,0,0.0,0.0
2026-05-10 20:15:10.003689,59.46,0.00013874514912067947,HOLD,0,0.0,0.0
2026-05-10 23:00:10.000434,59.96,0.0077235081176934796,ENTER_LONG,1,0.008995989356294379,0.0
2026-05-10 23:15:10.000475,60.01,0.010149061256586819,EXIT_SIGNAL,0,0.009003491015197226,0.005999826790496349
2026-05-10 23:15:57.913395,60.04,0.009805889184799885,ENTER_LONG,1,0.008995197899060352,0.0
2026-05-10 23:30:10.000467,59.99,0.005491188325290298,HOLD,1,0.0,0.0
2026-05-10 23:30:57.946077,60.13,0.007083295351713629,HOLD,1,0.0,0.0
2026-05-10 23:45:10.000447,60.55,0.007780822378195839,ENTER_LONG,1,0.00902046105618511,0.14374488048390105
2026-05-10 23:45:57.966632,60.49,0.008246673905391912,HOLD,1,0.0,0.0
2026-05-11 00:00:10.000522,60.5,0.0028332197212554994,HOLD,1,0.0,0.0
2026-05-11 00:15:10.000500,60.01,-0.0006816195393568552,EXIT_SL,0,0.008940014334957367,-0.16983345679044712
2026-05-11 00:15:59.875859,59.89,0.00218955797310026,ENTER_LONG,1,0.008526235653355436,0.0
2026-05-11 00:30:10.000474,59.92,0.0010206031181457487,EXIT_SIGNAL,0,0.00853050660125326,1.1389194394520116e-05
2026-05-11 00:30:58.004133,59.99,0.0010555338251906716,HOLD,0,0.0,0.0
2026-05-11 00:45:10.000501,59.69,0.0022518870245635445,ENTER_LONG,1,0.00885409654279019,0.0
2026-05-11 00:45:58.107247,59.76,0.004553854117501834,HOLD,1,0.0,0.0
2026-05-11 01:00:10.000452,59.53,0.0031426571600550236,HOLD,1,0.0,0.0
2026-05-11 01:15:10.000462,59.57,0.002752797412551175,ENTER_LONG,1,0.008948128816363587,-0.04443661754604812
2026-05-11 01:30:10.000461,59.52,0.00032081313146030665,EXIT_SIGNAL,0,0.008940618216383426,-0.02396181817670419
2026-05-11 01:30:58.153005,59.49,0.00023510998246598183,HOLD,0,0.0,0.0
2026-05-11 01:45:10.000462,59.52,0.001200030028816325,HOLD,0,0.0,0.0
2026-05-11 01:45:58.274843,59.44,0.0007359057229039686,HOLD,0,0.0,0.0
2026-05-11 02:00:10.000455,59.6,4.916069554745655e-05,HOLD,0,0.0,0.0
2026-05-11 02:15:10.000462,59.15,-0.0005847546251067568,HOLD,0,0.0,0.0
2026-05-11 02:15:57.953295,59.11,0.0009941672919251533,HOLD,0,0.0,0.0
