timestamp,price,prediction,action,position,fee,pnl
2026-05-10 20:00:10.000643,2365.6,-0.0002822615433070905,HOLD,0,0.0,0.0
2026-05-10 20:15:10.003689,2354.6,0.0002926324204150607,HOLD,0,0.0,0.0
2026-05-10 23:00:10.000434,2379.8,0.006059084651823546,ENTER_LONG,1,0.00899919,0.0
2026-05-10 23:15:10.000475,2381.1,0.004615466533875807,EXIT_SIGNAL,0,0.009004105937053534,0.0008277681700122243
2026-05-10 23:15:57.913395,2379.9,0.002809314455814952,ENTER_LONG,1,0.008997726790301832,0.0
2026-05-10 23:30:10.000467,2375.9,0.0007075861441610304,EXIT_SIGNAL,0,0.008982603924987656,-0.03922833455333954
2026-05-10 23:30:57.946077,2375.7,0.00012938261406871739,HOLD,0,0.0,0.0
2026-05-10 23:45:10.000447,2380.1,-0.001568805713436255,HOLD,0,0.0,0.0
2026-05-10 23:45:57.966632,2377.7,-0.002617564681296802,ENTER_SHORT,-1,0.009016410579322587,0.0
2026-05-11 00:00:10.000522,2373.2,0.0006063531644744994,EXIT_SIGNAL,0,0.008999346253458537,0.025129305474641428
2026-05-11 00:15:10.000500,2361.7,0.0020513592561668507,HOLD,0,0.0,0.0
2026-05-11 00:15:59.875859,2354.0,0.0021330746849873078,ENTER_LONG,1,0.008545677560308695,0.0
2026-05-11 00:30:10.000474,2355.9,0.0010329174604724032,EXIT_SIGNAL,0,0.00855257509104981,0.005242486391182388
2026-05-11 00:30:58.004133,2357.5,0.001912855915543895,ENTER_LONG,1,0.008179040897210837,0.0
2026-05-11 00:45:10.000501,2355.4,0.0020758549058139705,EXIT_SIGNAL,0,0.008171755219211202,-0.022743111218483325
2026-05-11 00:45:58.107247,2356.6,0.001804443306283594,ENTER_LONG,1,0.008001177981647544,0.0
2026-05-11 01:00:10.000452,2352.8,0.0012253554098546598,EXIT_SIGNAL,0,0.007988276141568508,-0.03379195629964241
2026-05-11 01:15:10.000462,2356.6,0.0021756386064452006,HOLD,0,0.0,0.0
2026-05-11 01:30:10.000461,2361.4,0.001004369620795338,HOLD,0,0.0,0.0
2026-05-11 01:30:58.153005,2360.6,0.001206361601592244,HOLD,0,0.0,0.0
2026-05-11 01:45:10.000462,2359.0,0.0007765824170445811,HOLD,0,0.0,0.0
2026-05-11 01:45:58.274843,2357.2,0.0001536837165659277,HOLD,0,0.0,0.0
2026-05-11 02:00:10.000455,2359.9,-0.0007489339701239121,HOLD,0,0.0,0.0
2026-05-11 02:15:10.000462,2354.2,-3.8601752919717484e-05,HOLD,0,0.0,0.0
2026-05-11 02:15:57.953295,2351.4,0.00015208993361281257,HOLD,0,0.0,0.0
