split,n,r2,pearson_corr,rmse_ratio,mae_ratio,rmse_bps,mae_bps,bias_bps,slope,intercept,directional_accuracy,actual_mean_ratio,predicted_mean_ratio,actual_std_bps,predicted_std_bps,predicted_to_actual_std_ratio
train,12073,0.12364797052289644,0.47622091839843356,0.002599989715216405,0.0017042370773625495,25.999897152164046,17.042370773625493,-0.04164633556805046,0.07384888886772276,0.9261709702530524,0.5721888412017168,1.0000259393462292,1.0000217747126723,27.773609927146257,4.3069301530540285,0.15507275303251916
test,1509,0.009460139247725818,0.10819738476541396,0.004397143178362728,0.0029138868142348485,43.97143178362728,29.138868142348485,0.40308346368301634,0.016739070408221694,0.983291659445304,0.5254001391788448,0.999990258442541,1.0000305667889091,44.18090714423745,6.835168123424694,0.1547086414751458
val,1510,-0.000932148034572089,0.053730186811424906,0.003007345706100852,0.0020598236075319233,30.073457061008522,20.598236075319228,-0.5851662738045686,0.006038343911132828,0.9939802884884562,0.5113091158327622,1.0000776177093922,1.0000191010820119,30.059450395516404,3.3781624453452044,0.11238270829625584
all,15092,0.08652050282113621,0.36163931709767194,0.002871552068993805,0.0018607635227306952,28.71552068993805,18.607635227306954,-0.05156005407237608,0.05470148511305798,0.9453193945809802,0.5614601952426784,1.0000275423043998,1.0000223862989925,30.04465998949788,4.544548790580019,0.15125978433999307
