actual_ratio,predicted_ratio
0.9985798816568047,1.0000063
0.9990519080350794,1.0002533
1.0034400948991697,1.0007137
0.9988178271663316,0.99996316
0.995857497928749,1.0004697
1.0004753981459473,1.0004638
1.000118793062485,1.000667
1.0011877895236965,1.0003777
1.000830466247479,0.9993812
1.0015410146989094,1.0001559
0.9991714995857499,0.9998573
0.997986259180289,0.9994244
1.000118694362018,1.0000476
0.9996439591739853,0.9997706
0.9971506589101269,1.000096
1.0027384212406238,1.0006489
0.9969128473046782,1.0000728
1.0017865650309672,1.0015079
1.0013078111996196,1.0004574
1.0,0.9997965
0.9992875801472334,0.9996519
0.9985741444866921,1.0001249
0.9996430271299381,1.000407
1.0,1.0003548
0.9992857993096059,1.000377
0.9986896962477665,0.99996316
1.0007156488549618,1.0004301
0.9991656734207389,0.9999251
0.9994035548133127,0.99985623
0.9982095965624254,0.9998049
0.9980868109530073,0.9996929
1.0004792140888943,1.0004115
1.0009579691054964,1.0003752
1.000837420744108,1.0000553
1.0007171886206072,1.0004272
0.999641662685141,1.0002985
1.0011948858883977,0.9999773
0.9989258861439312,0.9987052
1.000358422939068,0.99984884
1.0005971575301564,0.9988863
0.9974934351873954,0.99867374
1.0014359219815725,1.0003592
1.0005974429441988,0.9996186
0.9990446620492,0.9993213
0.9988046856323214,1.0000038
1.0019147917663953,1.0005066
1.0011944577161969,0.99965495
1.0003579098067288,0.99965596
0.9998807394156233,0.99970657
1.0009541984732824,0.9997657
1.0011916110581505,0.9998359
0.9994049035943823,0.99952084
0.9990472787900441,0.99964345
1.0003576111574681,1.0000598
0.9998808388941849,0.99973947
0.9980931950899774,1.0000174
1.0014328358208955,0.9998674
0.9991653749850959,0.9997659
1.0001193317422434,1.000015
0.9982102374418327,0.999792
1.0,1.0003514
0.9998804685632322,0.99988806
0.9996413628212791,1.0000175
0.9995216455393445,0.99982643
1.0005982292414453,1.0004301
1.0003587229463111,1.000269
1.0005976571838393,1.0004817
0.9992832397563016,1.0000572
0.9991631799163179,1.0003314
1.0004785833931564,1.0006747
1.0022721836881128,1.0008538
0.9996420474883665,0.9998052
0.9998806397708283,1.0000293
0.9994031276113168,0.9997329
1.0,0.99962616
0.9997611084567607,0.99976414
1.0002389486260455,1.0002227
1.0010750119445773,0.99961567
1.0002386350077557,0.9998538
1.0003578671120124,1.0000151
1.0004769854519437,0.9998176
1.000595947556615,1.0001755
1.0005955926146515,1.0002232
0.9995238095238095,1.0001522
0.9991662696522154,0.9998269
1.000238407438312,1.0001863
1.0003575259206292,0.99993026
0.9980938765785085,1.0002186
0.9998806397708283,1.0002145
0.9988062552226334,1.000362
1.0001195171507111,1.0003936
1.0013145315487573,1.0000684
1.0028643036161833,1.000121
0.9988099488277996,0.9997042
0.9989276778267604,0.99985015
1.0019083969465647,1.0006067
0.9991666666666668,0.99962026
1.0002382938162755,1.0001669
0.9998808814770697,1.0001202
0.9998808672861569,1.0002707
1.0005957345406886,0.9999192
0.9995236961181233,1.0000072
1.0002382654276865,1.0008237
1.0003573130061933,1.000393
0.9998809382069295,1.0001982
1.0,0.99995565
1.0005953798523457,0.9999939
1.0005950255861003,0.99997747
0.9997621313035205,0.9997804
1.0005948132286462,0.9999839
1.0008322434906671,0.9997993
0.9990496555001186,0.9996281
0.9996432818073722,0.9999402
0.999524206018794,0.9996687
1.0001190051172202,0.99992675
0.9991670633031888,0.99953854
1.001667262117423,1.0006452
1.0004755677089527,1.0000848
1.0001188354129529,0.9999094
1.0013070342205324,1.0000857
0.9992880028479886,0.999511
1.0004750029687686,1.0000656
0.999406528189911,0.9996644
0.9996437054631829,1.000025
0.9998811928240465,0.99990547
0.9997623574144487,0.9998653
1.0004753981459473,1.0002481
0.9997624138750296,1.0000002
1.001782319391635,1.0003989
1.00332107697782,0.9999817
0.9994089135831659,0.9994825
0.9985805535841021,0.9996159
0.9975124378109452,0.9994249
1.0,1.000054
1.0030875192969957,1.0009849
0.9986977625192376,0.99991304
1.0013039355144617,0.9994699
0.9988161477447616,0.9993527
0.9985776934929477,0.99928343
0.9970326409495549,0.99932283
1.0014285714285716,1.0004958
0.9994056110318591,0.9998035
0.9998810515046985,0.9998249
0.9988103735427075,0.9997425
0.998808956646022,0.9994057
0.9986882900071548,0.99960846
0.9998805970149253,1.0003401
0.9995223310246001,0.9999587
0.999163679808841,0.9998743
1.0001195743154372,1.0003458
1.0002391200382592,1.0007206
0.9996414056896964,1.0005192
1.0,1.0005709
0.999880425684563,1.0005412
1.0005979430758192,1.0004643
0.9994024142464444,0.9999912
1.0004783544606553,1.0001848
1.0002390628735358,1.0000064
1.0,0.9998703
1.0013145315487573,0.9999804
0.9992839240959541,0.99952054
0.9994028424698436,0.9999519
1.0008365200764817,0.99995524
0.9991641791044777,0.99969536
0.9990439770554492,0.9995173
1.0005980861244022,1.0004259
1.0010759115361625,1.000726
1.0011941724385003,1.0006862
1.001073473282443,1.0004313
1.0001191469081376,0.99988943
0.9990469382892543,0.99999076
1.0010732172668735,1.0001686
0.9989279332936272,0.9995174
1.0003577390889578,1.0000879
1.0,1.0000842
1.0007152223149363,1.0002621
1.0007147111375818,1.000169
1.000119033448399,1.0002795
1.0001190192811236,1.0003359
0.99976198976556,0.9995569
