entry_ts,exit_ts,direction,entry_price,exit_price,qty_btc,pnl_usd,fees_usd,net_pnl_usd
2026-03-19 09:30:00,2026-03-19 10:00:00,-1,70452.4,70424.5,2.5549165110060124e-05,0.0007128217065705287,0.0017996435891467146,-0.0010868218825761857
2026-03-19 12:30:00,2026-03-19 12:45:00,-1,69644.6,69286.4,2.3311174073631927e-05,0.008350062553175228,0.0016193223626118788,0.006730740190563349
2026-03-19 13:00:00,2026-03-19 13:30:00,1,69100.7,69711.8,2.606364197895879e-05,0.01592749161334187,0.0018089796511021087,0.01411851196223976
2026-03-19 13:45:00,2026-03-19 14:00:00,-1,69895.6,69507.4,2.5803587599915312e-05,0.010016952706287425,0.0017985487610954972,0.008218403945191927
2026-03-19 14:15:00,2026-03-19 14:45:00,1,69163.0,69488.5,2.6098297502404103e-05,0.008494995837032535,0.0018092840480772915,0.006685711788955244
2026-03-19 15:00:00,2026-03-19 15:15:00,-1,69698.1,69206.1,2.5915196802793576e-05,0.01275027682697444,0.0017998648398673,0.01095041198710714
2026-03-19 15:30:00,2026-03-19 15:45:00,1,68900.2,69410.4,2.624391587308116e-05,0.013389645878445933,0.0018149058753776895,0.011574740003068244
2026-03-19 16:15:00,2026-03-19 16:30:00,-1,69535.0,69522.1,2.6034292164219726e-05,0.00033584236891828295,0.0018101265844545596,-0.0014742842155362767
2026-03-19 17:00:00,2026-03-19 17:15:00,1,69227.6,69653.5,2.6146062184449874e-05,0.01113560788435705,0.0018155969384224008,0.009320010945934648
2026-03-19 17:30:00,2026-03-19 17:45:00,1,69588.1,69844.4,2.3608222505683205e-05,0.006050787428206331,0.0016458767422618367,0.004404910685944494
2026-03-19 18:45:00,2026-03-19 19:00:00,1,69822.9,70366.0,2.595852679241281e-05,0.014098075900959548,0.0018195486583244401,0.012278527242635107
2026-03-19 19:15:00,2026-03-19 19:30:00,1,70281.4,70450.7,2.5820626158238663e-05,0.00437143200858988,0.0018168954712819297,0.0025545365373079503
2026-03-19 19:45:00,2026-03-19 20:00:00,1,70263.5,70280.4,2.583374827405908e-05,0.00043659034583144805,0.0018153878670272659,-0.0013787975211958178
2026-03-19 23:30:00,2026-03-19 23:45:00,1,69845.7,69919.6,2.598472616496842e-05,0.0019202712635913932,0.0018158815239323306,0.0001043897396590626
2026-03-20 07:45:00,2026-03-20 08:00:00,1,70846.1,71272.7,2.5618067592339923e-05,0.010928667634891987,0.0018204045122711197,0.009108263122620868
2026-03-20 09:45:00,2026-03-20 10:00:00,-1,70580.9,70369.9,2.3576452164078653e-05,0.004974631406620596,0.0016615598968443086,0.003313071509776287
2026-03-20 13:30:00,2026-03-20 13:45:00,-1,70312.5,69869.0,2.5844281154666736e-05,0.011461938692094697,0.0018114450493414576,0.009650493642753239
2026-03-20 14:00:00,2026-03-20 14:15:00,1,69810.2,69936.0,2.4700654485557886e-05,0.0031073423342832538,0.0017259113009348349,0.0013814310333484189
2026-03-20 15:15:00,2026-03-20 15:30:00,1,69821.2,69908.6,2.605457604752143e-05,0.0022771699465536,0.00182030035010248,0.0004568695964511202
2026-03-20 15:45:00,2026-03-20 16:00:00,1,69860.2,69996.4,2.2720533180831774e-05,0.0030945366192292214,0.0015888082604291584,0.001505728358800063
2026-03-20 18:00:00,2026-03-20 18:15:00,-1,69973.1,69660.3,2.2607685107350597e-05,0.0070716839015793325,0.0015783939688343645,0.005493289932744968
2026-03-20 22:00:00,2026-03-20 22:15:00,-1,70804.3,70687.6,2.3571093995471168e-05,0.0027507466692714166,0.0016675594372489036,0.001083187232022513
2026-03-20 22:45:00,2026-03-20 23:00:00,-1,70774.9,70529.5,2.5725204820505674e-05,0.006312965262951943,0.001817542316019331,0.004495422946932611
2026-03-21 16:15:00,2026-03-21 16:30:00,1,70409.5,70371.6,2.2618012273755877e-05,-0.0008572226651752161,0.001592094323856427,-0.002449316989031643
2026-03-21 23:30:00,2026-03-21 23:45:00,-1,70163.9,68919.5,2.595447370689528e-05,0.032297747080860334,0.0018049182241827993,0.030492828856677534
2026-03-21 23:45:00,2026-03-22 00:00:00,-1,68919.5,68694.2,2.650274315567338e-05,0.005971068032973289,0.001823570272900945,0.0041474977600723445
2026-03-22 00:00:00,2026-03-22 00:30:00,1,68694.2,69064.9,2.660053332762074e-05,0.00986081770454893,0.001832232765366519,0.00802858493918241
2026-03-22 00:30:00,2026-03-22 00:45:00,-1,69064.9,68954.6,2.647868167192449e-05,0.002920598588412963,0.001827287202509091,0.0010933113859038718
2026-03-22 01:30:00,2026-03-22 01:45:00,1,68842.4,68961.2,2.604284386861493e-05,0.0030938898515915293,0.0017943988196665321,0.0012994910319249972
2026-03-22 02:00:00,2026-03-22 02:15:00,1,69061.2,69350.4,2.4001126782361545e-05,0.006941125865458889,0.0016610171798747567,0.005280108685584132
2026-03-22 02:15:00,2026-03-22 02:30:00,-1,69350.4,69239.2,2.6389590049976816e-05,0.0029345224135573452,0.0018286613645951335,0.0011058610489622118
2026-03-22 03:00:00,2026-03-22 03:15:00,1,69310.7,69447.4,2.640757748501639e-05,0.0036099158422016634,0.0018321326387118263,0.0017777832034898372
2026-03-22 04:15:00,2026-03-22 04:30:00,1,69262.1,69342.9,2.576496942987767e-05,0.002081809529933816,0.0017855767939140975,0.0002962327360197185
2026-03-22 09:45:00,2026-03-22 10:00:00,-1,68828.0,68742.4,2.5731623915671997e-05,0.0022026270071816728,0.0017699548973642814,0.00043267210981739134
2026-03-22 11:45:00,2026-03-22 12:00:00,1,68229.3,68316.4,2.663097589578013e-05,0.0023195580005222166,0.0018181726226862123,0.0005013853778360043
2026-03-22 18:30:00,2026-03-22 18:45:00,1,68472.4,68614.1,2.4953078214592256e-05,0.0035358511830080133,0.0017103650783323507,0.0018254861046756625
2026-03-22 21:00:00,2026-03-22 21:30:00,1,67779.6,67868.5,2.7016944943706602e-05,0.0024018064054953598,0.001832398624709204,0.0005694077807861559
2026-03-22 22:45:00,2026-03-22 23:00:00,-1,68330.3,68326.2,2.5659256730351617e-05,0.00010520295259459099,0.0017532521086856478,-0.0016480491560910567
2026-03-23 00:00:00,2026-03-23 00:15:00,1,67956.9,67987.8,2.517907037617432e-05,0.0007780332746240064,0.0017114805842839526,-0.0009334473096599462
2026-03-23 00:30:00,2026-03-23 01:00:00,1,67686.8,67838.1,2.432647924323565e-05,0.0036805963095016244,0.0016484218333957937,0.0020321744761058304
2026-03-23 01:45:00,2026-03-23 02:15:00,1,67903.7,68271.2,2.4763254017931408e-05,0.009100495851589792,0.001686066819783204,0.007414429031806588
2026-03-23 05:00:00,2026-03-23 05:15:00,-1,68764.7,68691.6,2.5504548856435187e-05,0.0018643825214051894,0.001752880459487406,0.00011150206191778327
2026-03-23 06:15:00,2026-03-23 06:30:00,-1,68562.7,67817.8,2.3323096433644646e-05,0.017373374533421762,0.0015904077765843368,0.015782966756837425
2026-03-23 06:30:00,2026-03-23 07:00:00,1,67817.8,67946.8,2.7063646101200022e-05,0.003491210347054803,0.0018371425437354906,0.0016540678033193125
2026-03-23 07:15:00,2026-03-23 07:30:00,1,67811.1,68329.1,2.7070710706161087e-05,0.014022628145791444,0.0018427059848394561,0.012179922160951987
2026-03-23 07:30:00,2026-03-23 07:45:00,-1,68329.1,68333.2,2.6281433095338243e-05,-0.00010775387569065733,0.001795840547052522,-0.0019035944227431792
2026-03-23 08:00:00,2026-03-23 08:15:00,-1,68647.0,68474.0,2.676802205135604e-05,0.004630867814884595,0.0018352289758519957,0.002795638839032599
2026-03-23 09:30:00,2026-03-23 09:45:00,1,68137.9,68333.9,2.697540758888172e-05,0.005287179887420818,0.001840691214694174,0.0034464886727266436
2026-03-23 10:15:00,2026-03-23 11:00:00,1,68459.6,70954.0,2.6857708673605374e-05,0.06699386851544109,0.0018721649269692754,0.06512170358847182
2026-03-23 11:00:00,2026-03-23 11:45:00,-1,70954.0,70114.9,2.6078725644184677e-05,0.021882658688035513,0.0018394485700134618,0.020043210118022053
2026-03-23 11:45:00,2026-03-23 12:00:00,-1,70114.9,70003.1,2.644227799196353e-05,0.002956246679501215,0.001852519553838973,0.001103727125662242
2026-03-23 12:00:00,2026-03-23 12:15:00,1,70003.1,70349.5,2.6487346246971096e-05,0.009175216739950634,0.001858783956431318,0.007316432783519316
2026-03-23 12:15:00,2026-03-23 12:30:00,1,70349.5,70714.3,2.6375643124149795e-05,0.009621834611689922,0.0018603242232682212,0.0077615103884217
2026-03-23 12:30:00,2026-03-23 12:45:00,-1,70714.3,70746.5,2.2770005489051065e-05,-0.000733194176747378,0.0016105315962427775,-0.0023437257729901555
2026-03-23 13:00:00,2026-03-23 13:30:00,1,70749.8,71230.7,2.6240194420240818e-05,0.012618909496693656,0.0018627979619415007,0.010756111534752155
2026-03-23 13:30:00,2026-03-23 13:45:00,1,71230.7,71481.2,2.6090219628185727e-05,0.006535600016860525,0.0018616924072778391,0.004673907609582686
2026-03-23 14:00:00,2026-03-23 14:15:00,-1,71515.9,71352.5,2.5576296594614852e-05,0.004179166863559918,0.0018270222861990362,0.0023521445773608818
2026-03-23 14:30:00,2026-03-23 14:45:00,1,71390.0,71456.4,2.6049717000463072e-05,0.0017297012088305964,0.001860554147267474,-0.00013085293843687756
2026-03-23 15:00:00,2026-03-23 15:15:00,-1,71366.3,70900.2,2.6058037801233074e-05,0.012145651419154888,0.0018535929174245628,0.010292058501730325
2026-03-23 15:15:00,2026-03-23 15:45:00,-1,70900.2,70131.5,2.6255473378981327e-05,0.02018258238642287,0.0018514270224712405,0.01833115536395163
2026-03-23 15:45:00,2026-03-23 16:00:00,1,70131.5,70526.2,2.6590304237467658e-05,0.010495193082528408,0.0018700655181712272,0.00862512756435718
2026-03-23 16:00:00,2026-03-23 16:15:00,-1,70526.2,70217.5,2.6463504975336076e-05,0.008169283985886169,0.001862285802598604,0.006306998183287565
2026-03-23 16:15:00,2026-03-23 16:30:00,1,70217.5,70463.2,2.6596015299099784e-05,0.0065346409589887395,0.0018707730247440333,0.004663867934244706
2026-03-23 17:15:00,2026-03-23 17:30:00,1,70537.2,70882.2,2.648737404508122e-05,0.00913814404555302,0.0018729142725154796,0.007265229773037541
2026-03-23 17:45:00,2026-03-23 18:15:00,-1,71084.1,70880.4,2.6301985139459454e-05,0.005357714372908197,0.001866974084665396,0.003490740288242801
2026-03-23 18:15:00,2026-03-23 18:30:00,1,70880.4,71045.9,2.6054093471653738e-05,0.004311952469558694,0.001848880543142985,0.0024630719264157087
2026-03-23 22:45:00,2026-03-23 23:00:00,-1,70784.7,70554.6,2.6428375454730872e-05,0.006081169192133343,0.0018676840434544216,0.004213485148678921
2026-03-23 23:45:00,2026-03-24 00:00:00,-1,70903.0,70782.3,2.3278647801121454e-05,0.0028097327895952916,0.001649121098648117,0.0011606116909471747
2026-03-24 01:30:00,2026-03-24 01:45:00,1,70384.3,70508.2,2.5495408272350225e-05,0.0031588810849440445,0.001796055905006052,0.0013628251799379925
2026-03-24 07:15:00,2026-03-24 07:30:00,1,70922.7,70909.1,2.291165539183782e-05,-0.0003115985133287943,0.0016248006626020319,-0.0019363991759308262
2026-03-24 14:00:00,2026-03-24 14:15:00,1,69868.4,70011.0,2.678734194803863e-05,0.0038198749617904646,0.0018734986596432373,0.0019463763021472273
2026-03-24 14:30:00,2026-03-24 14:45:00,1,69842.1,69870.9,2.5602345832811495e-05,0.000737347559984673,0.0017884902716697963,-0.0010511427116851233
2026-03-24 15:15:00,2026-03-24 15:30:00,1,70027.4,70055.2,2.5101502862760298e-05,0.0006978217795848093,0.001758141892461453,-0.0010603201128766438
2026-03-24 15:45:00,2026-03-24 16:00:00,1,69874.0,69915.5,2.6784769822656606e-05,0.0011115679476402492,0.001872114790562128,-0.0007605468429218787
2026-03-24 17:00:00,2026-03-24 17:15:00,1,69233.1,69172.4,2.680055353251539e-05,-0.0016267935994239962,0.0018546720059722794,-0.0034814656053962756
2026-03-24 17:15:00,2026-03-24 17:30:00,-1,69172.4,68936.4,2.4284035207120788e-05,0.005731032308880506,0.0016769194808066016,0.004054112828073904
2026-03-24 17:30:00,2026-03-24 17:45:00,1,68936.4,69238.0,2.714857730686058e-05,0.008188010915749309,0.001875619190114538,0.006312391725634771
2026-03-24 21:15:00,2026-03-24 21:30:00,1,70057.9,70278.8,2.3806959993654895e-05,0.005258957462598574,0.0016704951012707742,0.0035884623613278
2026-03-24 22:00:00,2026-03-24 22:15:00,-1,70542.3,70225.5,2.6555801815255764e-05,0.008412878015073103,0.0018691008993847805,0.006543777115688322
2026-03-24 23:15:00,2026-03-24 23:30:00,-1,70735.6,70663.8,2.493701397361636e-05,0.0017904776033057272,0.001763039406830485,2.743819647524218e-05
2026-03-25 00:30:00,2026-03-25 00:45:00,-1,70929.0,70833.3,2.6427697516509554e-05,0.0025291306523298872,0.0018732255918223414,0.0006559050605075458
2026-03-25 15:00:00,2026-03-25 15:15:00,1,70823.2,71015.0,2.6468843826025904e-05,0.005076724245831846,0.0018771465821823138,0.003199577663649532
2026-03-25 15:30:00,2026-03-25 16:00:00,1,70882.1,70876.0,2.470038428909919e-05,-0.00015067234416364883,0.0017507397730462762,-0.001901412117209925
2026-03-25 16:30:00,2026-03-25 17:00:00,-1,71466.3,71147.5,2.6233929696342986e-05,0.00836337678719422,0.0018706602014641597,0.006492716585730061
2026-03-25 20:15:00,2026-03-25 20:30:00,1,70716.9,70942.6,2.360257113146249e-05,0.005327100304371358,0.0016717642125987054,0.003655336091772653
2026-03-26 05:45:00,2026-03-26 06:00:00,1,70014.5,70066.4,2.3457286407183227e-05,0.001217433164532673,0.0016429588957379965,-0.00042552573120532345
2026-03-26 09:45:00,2026-03-26 10:00:00,-1,69583.6,69579.1,2.5081732166481827e-05,0.00011286779474916822,0.0017452207844822305,-0.0016323529897330623
2026-03-26 11:15:00,2026-03-26 11:30:00,1,69321.4,69401.1,2.7066650719257525e-05,0.0021572120623251398,0.001877376727201101,0.00027983533512403874
2026-03-26 14:45:00,2026-03-26 15:00:00,-1,69485.3,68957.0,2.5431056932321336e-05,0.013435227377345435,0.001760367006570755,0.01167486037077468
2026-03-26 15:00:00,2026-03-26 15:45:00,1,68957.0,69082.4,2.724088876251868e-05,0.0034160074508196837,0.0018801579701224105,0.0015358494806972732
2026-03-26 19:15:00,2026-03-26 19:30:00,1,68428.8,68628.6,2.616458806112424e-05,0.005227684694612699,0.0017930252058643648,0.003434659488748334
2026-03-26 19:45:00,2026-03-26 20:00:00,1,68524.3,69191.4,2.7053946116900085e-05,0.01804768745458381,0.0018628765636255883,0.016184810890958225
2026-03-26 20:00:00,2026-03-26 20:15:00,-1,69191.4,69160.1,2.657397656927855e-05,0.0008317654666181092,0.0018382747596622706,-0.0010065092930441615
2026-03-26 21:00:00,2026-03-26 21:15:00,1,68906.6,69085.9,2.7313446785926534e-05,0.0048973010087163095,0.0018845254028034837,0.0030127756059128256
2026-03-27 04:00:00,2026-03-27 04:15:00,1,68401.2,68531.5,2.6224101825558054e-05,0.003417000467870291,0.0017954685340242967,0.0016215319338459943
2026-03-27 08:30:00,2026-03-27 08:45:00,1,67832.4,67927.7,2.775828258555325e-05,0.0026453643304033053,0.0018842336098214836,0.0007611307205818217
2026-03-27 09:00:00,2026-03-27 09:15:00,1,67751.3,67932.8,2.503420387007491e-05,0.004543708002418596,0.0016983717106638157,0.0028453362917547805
2026-03-27 09:15:00,2026-03-27 09:30:00,-1,67932.8,67727.4,2.7726813729428236e-05,0.0056950875400248015,0.00188071254794849,0.0038143749920763114
2026-03-27 09:45:00,2026-03-27 10:00:00,-1,67692.6,67674.1,2.6759178007704028e-05,0.0004950447931425246,0.0018111508108077346,-0.00131610601766521
2026-03-27 10:15:00,2026-03-27 10:30:00,-1,67771.4,66908.7,2.7799481494168585e-05,0.023982612685019156,0.0018720184737913872,0.02211059421122777
2026-03-27 10:30:00,2026-03-27 10:45:00,-1,66908.7,66495.1,2.8217402028314967e-05,0.011670717478910825,0.001882154328352462,0.009788563150558363
2026-03-27 10:45:00,2026-03-27 11:15:00,1,66495.1,66716.3,2.8419411783109096e-05,0.006286373886423649,0.00189289481540223,0.004393479071021419
2026-03-27 11:15:00,2026-03-27 11:30:00,-1,66716.3,66766.0,2.5324210637980806e-05,-0.0012586132687075723,0.0016901669408210726,-0.002948780209528645
