entry_ts,exit_ts,direction,entry_price,exit_price,qty_btc,pnl_usd,fees_usd,net_pnl_usd
2026-03-19 09:30:00,2026-03-19 10:15:00,-1,1.5432,1.5392,1.0481506272648733,0.004192602509059497,0.0016154097467406228,0.002577192762318874
2026-03-19 12:00:00,2026-03-19 12:15:00,-1,1.5426,1.5318,1.0700810144514112,0.011556874956075157,0.0016449285354147095,0.009911946420660447
2026-03-19 12:45:00,2026-03-19 13:00:00,-1,1.5219,1.5135,1.1359575548754728,0.00954204346095393,0.001724042781034505,0.007818000679919425
2026-03-19 13:00:00,2026-03-19 13:30:00,1,1.5135,1.5255,1.1917114537002453,0.014300537444402957,0.0018108055538975229,0.012489731890505434
2026-03-19 13:30:00,2026-03-19 14:00:00,-1,1.5255,1.5145,1.1838108403248853,0.013021919243573881,0.0017993924772938257,0.011222526766280055
2026-03-19 14:30:00,2026-03-19 14:45:00,1,1.5118,1.5117,1.0952372645519748,-0.00010952372645518541,0.001655724934686448,-0.0017652486611416333
2026-03-19 15:15:00,2026-03-19 15:45:00,1,1.5051,1.5217,1.2009871417012408,0.019936386552240535,0.001817573940250658,0.018118812611989877
2026-03-19 15:45:00,2026-03-19 16:00:00,-1,1.5217,1.5159,1.190029002592295,0.006902168215035344,0.0018074160491371779,0.005094752165898166
2026-03-19 16:30:00,2026-03-19 17:00:00,-1,1.5127,1.4996,1.0602603349774282,0.013889410388204192,0.0015969111035262537,0.01229249928467794
2026-03-19 17:00:00,2026-03-19 17:15:00,1,1.4996,1.5107,1.2096538000172041,0.01342715718019083,0.0018207104170958948,0.011606446763094934
2026-03-19 17:15:00,2026-03-19 17:30:00,-1,1.5107,1.5088,1.1780708987036705,0.0022383347075369893,0.0017785925393178665,0.00045974216821912284
2026-03-19 17:45:00,2026-03-19 18:00:00,-1,1.5143,1.5118,1.1993454087786013,0.002998363521946439,0.0018146695707524627,0.0011836939511939764
2026-03-19 18:45:00,2026-03-19 19:00:00,1,1.5153,1.5279,1.1986945274365808,0.015103551045700851,0.0018239335929475014,0.01327961745275335
2026-03-19 19:15:00,2026-03-19 19:30:00,1,1.5296,1.5332,1.1128310207673124,0.004006191674762131,0.0017041894252030623,0.0023020022495590688
2026-03-19 22:30:00,2026-03-19 22:45:00,1,1.5109,1.5191,1.204041636753635,0.009873141421379789,0.001824123079681757,0.008049018341698033
2026-03-20 02:00:00,2026-03-20 02:15:00,-1,1.5372,1.5328,1.0286985830309046,0.004526273765335939,0.0015790523249524385,0.0029472214403835004
2026-03-20 07:15:00,2026-03-20 07:30:00,1,1.5333,1.5399,1.0361691027328481,0.006838716078036735,0.0015921774432592947,0.00524653863477744
2026-03-20 07:45:00,2026-03-20 08:00:00,1,1.5367,1.5441,1.1857292959498285,0.008774396790028817,0.0018264974074811157,0.006947899382547701
2026-03-20 08:00:00,2026-03-20 08:15:00,-1,1.5441,1.5396,1.1808567003270254,0.005313855151471553,0.0018207039033992243,0.003493151248072329
2026-03-20 09:15:00,2026-03-20 09:30:00,1,1.5225,1.5302,1.1457100182868638,0.008821967140808898,0.0017487544864121544,0.007073212654396743
2026-03-20 10:45:00,2026-03-20 11:00:00,1,1.5342,1.5402,1.104971113939199,0.006629826683635199,0.0016985615963473367,0.0049312650872878625
2026-03-20 11:00:00,2026-03-20 11:15:00,-1,1.5402,1.5333,1.1856579692203066,0.008181039987620004,0.0018220598841993064,0.0063589801034206975
2026-03-20 16:00:00,2026-03-20 16:15:00,1,1.5207,1.5227,1.2016144016648467,0.0024032288033296956,0.001828496635013397,0.0005747321683162985
2026-03-20 17:30:00,2026-03-20 17:45:00,1,1.509,1.5195,1.1804327703287703,0.012394544088452294,0.0017874703224703406,0.010607073765981953
2026-03-20 18:00:00,2026-03-20 18:15:00,-1,1.52,1.5112,1.1509653425604591,0.010128495014531946,0.0017444030731846318,0.008384091941347314
2026-03-20 19:30:00,2026-03-20 19:45:00,1,1.5093,1.5113,1.0536044548396626,0.002107208909679327,0.0015912588081443424,0.0005159501015349845
2026-03-20 20:30:00,2026-03-20 20:45:00,1,1.5014,1.5079,1.160708634805032,0.00754460612623265,0.0017464602473593917,0.005798145878873258
2026-03-20 22:45:00,2026-03-20 23:00:00,-1,1.5158,1.5069,1.1485612378620416,0.01022219501697232,0.0017358780268427966,0.008486316990129522
2026-03-20 23:45:00,2026-03-21 00:00:00,1,1.4995,1.5079,1.2227282137806235,0.010270916995757192,0.0018386164150619236,0.008432300580695268
2026-03-21 00:00:00,2026-03-21 00:15:00,-1,1.5079,1.5084,1.0635926099774562,-0.0005317963049886695,0.0016040571947375007,-0.0021358534997261702
2026-03-21 08:30:00,2026-03-21 08:45:00,-1,1.5007,1.501,1.0888526760077886,-0.00032665580280230057,0.0016342045387862895,-0.00196086034158859
2026-03-21 09:00:00,2026-03-21 09:15:00,-1,1.5045,1.4995,1.1423947124770966,0.005711973562385361,0.0017158768581405992,0.003996096704244762
2026-03-21 15:45:00,2026-03-21 16:00:00,-1,1.508,1.5063,1.216830676116643,0.0020686121493983353,0.0018339463535091984,0.00023466579588913693
2026-03-21 19:30:00,2026-03-21 19:45:00,1,1.4931,1.4938,1.0878821231091753,0.0007615174861763388,0.001624697556757398,-0.0008631800705810592
2026-03-21 22:45:00,2026-03-21 23:00:00,-1,1.4967,1.4957,1.0895213455332724,0.0010895213455331524,0.0016301418371868822,-0.0005406204916537298
2026-03-21 23:30:00,2026-03-21 23:45:00,-1,1.4948,1.469,1.2274352524257128,0.03166782951258317,0.001818936300569664,0.02984889321201351
2026-03-21 23:45:00,2026-03-22 00:00:00,-1,1.469,1.4549,1.2526501130729188,0.01766236659432816,0.001831311832806954,0.015831054761521204
2026-03-22 00:00:00,2026-03-22 00:15:00,1,1.4549,1.4646,1.2667486466157067,0.012287461872172127,0.001849136336897278,0.010438325535274849
2026-03-22 00:15:00,2026-03-22 00:30:00,1,1.4646,1.4707,1.2596418848542545,0.007683815497610946,0.0018487134123063465,0.005835102085304599
2026-03-22 00:30:00,2026-03-22 00:45:00,-1,1.4707,1.4656,1.2551314496041994,0.006401170392981269,0.0018427212377364053,0.004558449155244864
2026-03-22 00:45:00,2026-03-22 01:00:00,1,1.4656,1.4705,1.2600589136059228,0.0061742886766689015,0.0018498294881191752,0.004324459188549726
2026-03-22 01:00:00,2026-03-22 01:15:00,-1,1.4705,1.4665,1.2563894909451065,0.00502555796378043,0.0018450079674528887,0.0031805499963275417
2026-03-22 01:30:00,2026-03-22 02:00:00,1,1.4614,1.4678,1.2646046567908293,0.008093469803461258,0.0018521399803358488,0.006241329823125409
2026-03-22 02:00:00,2026-03-22 02:15:00,1,1.4678,1.4772,1.2598560327035568,0.011842646707413529,0.0018551380081559875,0.009987508699257542
2026-03-22 02:15:00,2026-03-22 02:30:00,-1,1.4772,1.4705,1.2530560766099017,0.00839547571328653,0.0018468166985115039,0.006548659014775026
2026-03-22 02:30:00,2026-03-22 03:15:00,1,1.4705,1.4787,1.2595669466105452,0.010328448962206452,0.0018573574194719101,0.008471091542734541
2026-03-22 03:15:00,2026-03-22 03:30:00,-1,1.4787,1.4763,1.1975391973286795,0.0028740940735887802,0.001769364164053124,0.0011047299095356562
2026-03-22 03:45:00,2026-03-22 04:00:00,1,1.4725,1.4755,1.1038085866216902,0.003311425759865196,0.0016270138566803715,0.0016844119031848247
2026-03-22 04:15:00,2026-03-22 04:30:00,1,1.4708,1.4759,1.2606880860720615,0.006429509238967366,0.001857434791614272,0.0045720744473530936
2026-03-22 04:45:00,2026-03-22 05:00:00,-1,1.4764,1.472,1.169226409789198,0.005144596203072424,0.0017236735733112357,0.0034209226297611884
2026-03-22 06:30:00,2026-03-22 06:45:00,1,1.4624,1.4644,1.107406978194567,0.002214813956389136,0.0016205793718899293,0.0005942345844992065
2026-03-22 09:00:00,2026-03-22 09:15:00,-1,1.4574,1.4525,1.2733400155714825,0.006239366076300425,0.0018526460556557286,0.004386720020644696
2026-03-22 09:45:00,2026-03-22 10:00:00,-1,1.4533,1.4493,1.1659279344733948,0.004663711737893583,0.001692111211301238,0.002971600526592345
2026-03-22 10:30:00,2026-03-22 10:45:00,1,1.4388,1.4372,1.2907215988270648,-0.002065154558123363,0.0018560576591133194,-0.003921212217236682
2026-03-22 11:15:00,2026-03-22 11:30:00,1,1.437,1.438,1.127660003151869,0.0011276600031517449,0.0016210112545308117,-0.0004933512513790668
2026-03-22 11:45:00,2026-03-22 12:00:00,1,1.4328,1.4376,1.2955720372473691,0.0062187457787872625,0.0018594049878574242,0.004359340790929839
2026-03-22 12:15:00,2026-03-22 12:30:00,-1,1.4475,1.4413,1.2829570268120194,0.0079543335662345,0.0018531031295272809,0.006101230436707218
2026-03-22 18:00:00,2026-03-22 18:15:00,-1,1.4358,1.4343,1.2331557878991368,0.0018497336818487752,0.001769640213424656,8.00934684241192e-05
2026-03-22 19:15:00,2026-03-22 19:30:00,1,1.4154,1.4203,1.3128394338090446,0.006432913225664193,0.0018614093912261538,0.00457150383443804
2026-03-22 19:30:00,2026-03-22 19:45:00,-1,1.4203,1.4167,1.2083416865954888,0.004350030071743549,0.001714032682435701,0.0026359973893078483
2026-03-22 19:45:00,2026-03-22 20:00:00,1,1.4167,1.4148,1.2723899748312775,-0.0024175409521794435,0.0018013861068673811,-0.004218927059046825
2026-03-22 20:30:00,2026-03-22 20:45:00,-1,1.4142,1.4113,1.314333812730143,0.0038115680569172864,0.0018568250939345096,0.0019547429629827766
2026-03-22 21:00:00,2026-03-22 21:30:00,1,1.4049,1.4131,1.3232847403347603,0.010850934870745014,0.0018645081991316773,0.008986426671613337
2026-03-22 22:00:00,2026-03-22 22:15:00,1,1.4089,1.4213,1.320675909217968,0.01637638127430276,0.0018688884791343465,0.014507492795168414
2026-03-22 22:15:00,2026-03-22 22:30:00,-1,1.4213,1.4168,1.3109910906918494,0.005899459908113255,0.001860361907246269,0.004039098000866986
2026-03-23 00:15:00,2026-03-23 00:30:00,1,1.4166,1.418,1.2220832382560918,0.0017109165335583401,0.0017320585735803589,-2.114204002201872e-05
