timestamp,equity,position
2026-03-19 08:45:00,10.0,0
2026-03-19 09:00:00,10.0,0
2026-03-19 09:15:00,10.0,-1
2026-03-19 09:30:00,9.99730226876346,0
2026-03-19 09:45:00,9.99730226876346,-1
2026-03-19 10:00:00,9.997964585439345,-1
2026-03-19 10:15:00,9.999478641360417,0
2026-03-19 10:30:00,9.999478641360417,0
2026-03-19 10:45:00,9.999478641360417,0
2026-03-19 11:00:00,9.999478641360417,0
2026-03-19 11:15:00,9.999478641360417,0
2026-03-19 11:30:00,9.999478641360417,0
2026-03-19 11:45:00,9.999478641360417,0
2026-03-19 12:00:00,9.999478641360417,0
2026-03-19 12:15:00,9.999478641360417,0
2026-03-19 12:30:00,9.999478641360417,-1
2026-03-19 12:45:00,10.014502409611946,-1
2026-03-19 13:00:00,10.02562576034004,1
2026-03-19 13:15:00,10.032730051311482,1
2026-03-19 13:30:00,10.043207635268434,-1
2026-03-19 13:45:00,10.041171085466313,-1
2026-03-19 14:00:00,10.045244185070553,-1
2026-03-19 14:15:00,10.055662834433232,1
2026-03-19 14:30:00,10.062513778075163,1
2026-03-19 14:45:00,10.068232603280263,0
2026-03-19 15:00:00,10.068232603280263,-1
2026-03-19 15:15:00,10.081422253043694,1
2026-03-19 15:30:00,10.080734101354066,1
2026-03-19 15:45:00,10.094051556927583,-1
2026-03-19 16:00:00,10.101809393797984,1
2026-03-19 16:15:00,10.099998212287403,0
2026-03-19 16:30:00,10.099998212287403,-1
2026-03-19 16:45:00,10.101238874466198,-1
2026-03-19 17:00:00,10.110149000068752,1
2026-03-19 17:15:00,10.124946609776512,-1
2026-03-19 17:30:00,10.125785089657125,0
2026-03-19 17:45:00,10.125785089657125,-1
2026-03-19 18:00:00,10.1278013798188,-1
2026-03-19 18:15:00,10.130051895687592,1
2026-03-19 18:30:00,10.130649557486658,1
2026-03-19 18:45:00,10.135430851879194,1
2026-03-19 19:00:00,10.148182862854986,0
2026-03-19 19:15:00,10.148182862854986,0
2026-03-19 19:30:00,10.148182862854986,0
2026-03-19 19:45:00,10.148182862854986,0
2026-03-19 20:00:00,10.148182862854986,0
2026-03-19 20:15:00,10.148182862854986,0
2026-03-19 20:30:00,10.148182862854986,0
2026-03-19 20:45:00,10.148182862854986,0
2026-03-19 21:00:00,10.148182862854986,0
2026-03-19 21:15:00,10.148182862854986,0
2026-03-19 21:30:00,10.148182862854986,0
2026-03-19 21:45:00,10.148182862854986,0
2026-03-19 22:00:00,10.148182862854986,0
2026-03-19 22:15:00,10.148182862854986,0
2026-03-19 22:30:00,10.148182862854986,0
2026-03-19 22:45:00,10.148182862854986,0
2026-03-19 23:00:00,10.148182862854986,0
2026-03-19 23:15:00,10.148182862854986,0
2026-03-19 23:30:00,10.148182862854986,0
2026-03-19 23:45:00,10.148182862854986,0
2026-03-20 00:00:00,10.148182862854986,0
2026-03-20 00:15:00,10.148182862854986,0
2026-03-20 00:30:00,10.148182862854986,0
2026-03-20 00:45:00,10.148182862854986,0
2026-03-20 01:00:00,10.148182862854986,0
