timestamp,equity,position
2026-03-19 08:45:00,10.0,0
2026-03-19 09:00:00,10.0,0
2026-03-19 09:15:00,10.0,0
2026-03-19 09:30:00,10.0,-1
2026-03-19 09:45:00,9.997296033702389,-1
2026-03-19 10:00:00,9.99894110410723,-1
2026-03-19 10:15:00,9.99738162463558,0
2026-03-19 10:30:00,9.99738162463558,0
2026-03-19 10:45:00,9.99738162463558,0
2026-03-19 11:00:00,9.99738162463558,0
2026-03-19 11:15:00,9.99738162463558,0
2026-03-19 11:30:00,9.99738162463558,0
2026-03-19 11:45:00,9.99738162463558,0
2026-03-19 12:00:00,9.99738162463558,0
2026-03-19 12:15:00,9.99738162463558,0
2026-03-19 12:30:00,9.99738162463558,-1
2026-03-19 12:45:00,10.008303913437786,-1
2026-03-19 13:00:00,10.017584985537953,1
2026-03-19 13:15:00,10.02735710482214,0
2026-03-19 13:30:00,10.02735710482214,0
2026-03-19 13:45:00,10.02735710482214,-1
2026-03-19 14:00:00,10.030833256400152,0
2026-03-19 14:15:00,10.030833256400152,0
2026-03-19 14:30:00,10.030833256400152,0
2026-03-19 14:45:00,10.030833256400152,0
2026-03-19 15:00:00,10.030833256400152,-1
2026-03-19 15:15:00,10.03741284325287,1
2026-03-19 15:30:00,10.034881126544466,1
2026-03-19 15:45:00,10.044310859865256,-1
2026-03-19 16:00:00,10.047265484083288,0
2026-03-19 16:15:00,10.047265484083288,0
2026-03-19 16:30:00,10.047265484083288,0
2026-03-19 16:45:00,10.047265484083288,0
2026-03-19 17:00:00,10.047265484083288,1
2026-03-19 17:15:00,10.0627944436403,-1
2026-03-19 17:30:00,10.066708536192717,1
2026-03-19 17:45:00,10.07231707228071,-1
2026-03-19 18:00:00,10.073787191692189,0
2026-03-19 18:15:00,10.073787191692189,0
2026-03-19 18:30:00,10.073787191692189,0
2026-03-19 18:45:00,10.073787191692189,1
2026-03-19 19:00:00,10.082881959301845,0
2026-03-19 19:15:00,10.082881959301845,0
2026-03-19 19:30:00,10.082881959301845,0
2026-03-19 19:45:00,10.082881959301845,0
2026-03-19 20:00:00,10.082881959301845,0
2026-03-19 20:15:00,10.082881959301845,0
2026-03-19 20:30:00,10.082881959301845,0
2026-03-19 20:45:00,10.082881959301845,0
2026-03-19 21:00:00,10.082881959301845,0
2026-03-19 21:15:00,10.082881959301845,0
2026-03-19 21:30:00,10.082881959301845,0
2026-03-19 21:45:00,10.082881959301845,0
2026-03-19 22:00:00,10.082881959301845,-1
2026-03-19 22:15:00,10.082756275433471,-1
2026-03-19 22:30:00,10.090647130628655,0
2026-03-19 22:45:00,10.090647130628655,0
2026-03-19 23:00:00,10.090647130628655,0
2026-03-19 23:15:00,10.090647130628655,0
2026-03-19 23:30:00,10.090647130628655,1
2026-03-19 23:45:00,10.092717982816634,0
2026-03-20 00:00:00,10.092717982816634,0
2026-03-20 00:15:00,10.092717982816634,0
2026-03-20 00:30:00,10.092717982816634,0
2026-03-20 00:45:00,10.092717982816634,0
2026-03-20 01:00:00,10.092717982816634,0
